BROAD ANCESTRAL	Broader
African	African
African American or Afro-Caribbean	African American or Afro-Caribbean
African American or Afro-Caribbean, African unspecified	Other/Mixed
African American or Afro-Caribbean, African unspecified, Other	Other/Mixed
African American or Afro-Caribbean, Asian unspecified	Other/Mixed
African American or Afro-Caribbean, Asian unspecified, Other	Other/Mixed
African American or Afro-Caribbean, European	Other/Mixed
African American or Afro-Caribbean, European, Asian unspecified, Other	Other/Mixed
African American or Afro-Caribbean, European, Hispanic or Latin American	Other/Mixed
African American or Afro-Caribbean, European, Hispanic or Latin American, Asian unspecified	Other/Mixed
African American or Afro-Caribbean, European, Hispanic or Latin American, Asian unspecified, Native American, Other	Other/Mixed
African American or Afro-Caribbean, European, Hispanic or Latin American, Oceanian, Asian unspecified, Native American, Other	Other/Mixed
African American or Afro-Caribbean, European, Hispanic or Latin American, Oceanian, Asian unspecified, Other	Other/Mixed
African American or Afro-Caribbean, European, Hispanic or Latin American, Oceanian, East Asian	Other/Mixed
African American or Afro-Caribbean, European, Hispanic or Latin American, Other	Other/Mixed
African American or Afro-Caribbean, European, Other	Other/Mixed
African American or Afro-Caribbean, Hispanic or Latin American, Asian unspecified, Native American	Other/Mixed
African American or Afro-Caribbean, Hispanic or Latin American, NR	Other/Mixed
African American or Afro-Caribbean, Hispanic or Latin American, Other	Other/Mixed
African American or Afro-Caribbean, Other	Other/Mixed
African American or Afro-Caribbean, South Asian, European	Other/Mixed
African American or Afro-Caribbean, South Asian, European, East Asian	Other/Mixed
African American or Afro-Caribbean, South Asian, European, East Asian, Hispanic or Latin American	Other/Mixed
African American or Afro-Caribbean, South Asian, European, East Asian, Other, Hispanic or Latin American	Other/Mixed
African American or Afro-Caribbean, South East Asian, Hispanic or Latin American, Other	Other/Mixed
African unspecified	African
African unspecified, Asian unspecified	Other/Mixed
African unspecified, Hispanic or Latin American	Other/Mixed
African unspecified, NR	In Part Not Recorded
African, African unspecified	African
African, African unspecified, Other	Other/Mixed
African, Asian unspecified	Other/Mixed
African, Asian unspecified, Other	Other/Mixed
African, European	Other/Mixed
African, European, Asian unspecified, Other	Other/Mixed
African, European, Hispanic or Latin American	Other/Mixed
African, European, Hispanic or Latin American, Asian unspecified	Other/Mixed
African, European, Hispanic or Latin American, Asian unspecified, Native American, Other	Other/Mixed
African, European, Hispanic or Latin American, Oceanian, Asian unspecified, Native American, Other	Other/Mixed
African, European, Hispanic or Latin American, Oceanian, Asian unspecified, Other	Other/Mixed
African, European, Hispanic or Latin American, Oceanian, East Asian	Other/Mixed
African, European, Hispanic or Latin American, Other	Other/Mixed
African, European, Other	Other/Mixed
African, Hispanic or Latin American, Asian unspecified, Native American	Other/Mixed
African, Hispanic or Latin American, NR	In Part Not Recorded
African, Hispanic or Latin American, Other	Other/Mixed
African, Other	Other/Mixed
African, South Asian, European	Other/Mixed
African, South Asian, European, East Asian	Other/Mixed
African, South Asian, European, East Asian, Hispanic or Latin American	Other/Mixed
African, South Asian, European, East Asian, Other, Hispanic or Latin American	Other/Mixed
African, South East Asian, Hispanic or Latin American, Other	Other/Mixed
Asian unspecified	Asian
Asian unspecified, African American or Afro-Caribbean, Native American, Otheradmixed ancestry	Other/Mixed
Asian unspecified, African, Native American, Otheradmixed ancestry	Other/Mixed
Asian unspecified, Native American, Other	Other/Mixed
Central Asian	Asian
East Asian	Asian
East Asian, Asian unspecified	Asian
East Asian, Asian unspecified, Other	Asian
East Asian, Other	Asian
European	European
European, African unspecified	Other/Mixed
European, African unspecified, Other	Other/Mixed
European, Asian unspecified	Other/Mixed
European, Asian unspecified, Other	Other/Mixed
European, East Asian	Other/Mixed
European, East Asian, Hispanic or Latin American	Other/Mixed
European, East Asian, Other, Otheradmixed ancestry	Other/Mixed
European, Greater Middle Eastern (Middle Eastern, North African or Persian)	Other/Mixed
European, Hispanic or Latin American	Other/Mixed
European, Hispanic or Latin American, African unspecified	Other/Mixed
European, Hispanic or Latin American, African unspecified, Asian unspecified	Other/Mixed
European, Hispanic or Latin American, African unspecified, Asian unspecified, Native American, Other	Other/Mixed
European, Hispanic or Latin American, African unspecified, Asian unspecified, Other	Other/Mixed
European, Hispanic or Latin American, Oceanian, African unspecified, Other	Other/Mixed
European, Hispanic or Latin American, Other	Other/Mixed
European, NR	In Part Not Recorded
European, Other	Other/Mixed
European, Other, NR	In Part Not Recorded
European, South Asian, Asian unspecified, African American or Afro-Caribbean, Hispanic or Latin American, Other	Other/Mixed
European, South Asian, Asian unspecified, African, Hispanic or Latin American, Other	Other/Mixed
Greater Middle Eastern (Middle Eastern, North African or Persian)	Other/Mixed
Hispanic or Latin American	Hispanic or Latin American
Hispanic or Latin American, African unspecified	Other/Mixed
Hispanic or Latin American, Asian unspecified, Native American, Other	Other/Mixed
Hispanic or Latin American, Native American	Other/Mixed
Hispanic or Latin American, Oceanian, Asian unspecified, Native American	Other/Mixed
Hispanic or Latin American, Other	Other/Mixed
Native American	Other/Mixed
Native American, Hispanic or Latin American	Other/Mixed
NR	In Part Not Recorded
NR, African	In Part Not Recorded
NR, African American or Afro-Caribbean	In Part Not Recorded
NR, African American or Afro-Caribbean, European, African unspecified, Asian unspecified, Other	In Part Not Recorded
NR, African American or Afro-Caribbean, European, Asian unspecified	In Part Not Recorded
NR, African American or Afro-Caribbean, European, Hispanic or Latin American, East Asian	In Part Not Recorded
NR, African unspecified	In Part Not Recorded
NR, African unspecified, East Asian	In Part Not Recorded
NR, African, European, African unspecified, Asian unspecified, Other	In Part Not Recorded
NR, African, European, Asian unspecified	In Part Not Recorded
NR, African, European, Hispanic or Latin American, East Asian	In Part Not Recorded
NR, East Asian	In Part Not Recorded
NR, European	In Part Not Recorded
NR, European, African unspecified	In Part Not Recorded
NR, European, East Asian	In Part Not Recorded
NR, European, Hispanic or Latin American, African unspecified	In Part Not Recorded
NR, European, Hispanic or Latin American, African unspecified, Asian unspecified	In Part Not Recorded
NR, Hispanic or Latin American	In Part Not Recorded
NR, Hispanic or Latin American, African unspecified, Asian unspecified	In Part Not Recorded
NR, Oceanian, Native American	In Part Not Recorded
NR, Other	In Part Not Recorded
NR, Other, Greater Middle Eastern (Middle Eastern, North African or Persian)	In Part Not Recorded
Oceanian	Other/Mixed
Oceanian, Asian unspecified	Other/Mixed
Other	Other/Mixed
South Asian	Asian
South Asian, East Asian	Asian
South Asian, European	Other/Mixed
South Asian, Greater Middle Eastern (Middle Eastern, North African or Persian), NR	Other/Mixed
South Asian, Hispanic or Latin American, African unspecified, Asian unspecified, Greater Middle Eastern (Middle Eastern, North African or Persian)	Other/Mixed
South Asian, South East Asian	Asian
South Asian, South East Asian, East Asian	Asian
South East Asian	Asian
South East Asian, East Asian	Asian
South East Asian, South Asian, East Asian	Asian
Sub-Saharan African	African
Sub-Saharan African, African	African
Sub-Saharan African, African American or Afro-Caribbean	African
Sub-Saharan African, African unspecified	African
European, East Asian, Other, Other admixed ancestry	Other/Mixed
Asian unspecified, African American or Afro-Caribbean, Native American, Other admixed ancestry	Other/Mixed
Asian unspecified, African American or Afro-Caribbean, Native American, Other admixed ancestry	Other/Mixed
Asian unspecified, African American or Afro-Caribbean, Native American, Other admixed ancestry	Other/Mixed
Asian unspecified, African American or Afro-Caribbean, Native American, Other admixed ancestry	Other/Mixed
Aboriginal Australian	Other/Mixed
Other admixed ancestry	Other/Mixed
European, Asian unspecified, African American or Afro-Caribbean, Greater Middle Eastern (Middle Eastern, North African or Persian), Oceanian, Native American, Other, Other admixed ancestry	Other/Mixed
European, Asian unspecified, African American or Afro-Caribbean, Greater Middle Eastern (Middle Eastern, North African or Persian), Oceanian, Native American, Other admixed ancestry	Other/Mixed
Asian unspecified, European, African American or Afro-Caribbean, Greater Middle Eastern (Middle Eastern, North African or Persian), Oceanian, Native American, Other admixed ancestry	Other/Mixed
South Asian, Greater Middle Eastern (Middle Eastern, North African or Persian), Hispanic or Latin American	Other/Mixed
European, African unspecified, Asian unspecified, Hispanic or Latin American, unspecified	In Part Not Recorded
European, Asian unspecified, African American or Afro-Caribbean, Greater Middle Eastern (Middle Eastern, North African or Persian), Oceanian, Native American, Other, Other admixed ancestry	In Part Not Recorded
European, Asian unspecified, African American or Afro-Caribbean, Greater Middle Eastern (Middle Eastern, North African or Persian), Oceanian, Native American, Other admixed ancestry	In Part Not Recorded
Asian unspecified, European, African American or Afro-Caribbean, Greater Middle Eastern (Middle Eastern, North African or Persian), Oceanian, Native American, Other admixed ancestry	In Part Not Recorded
African unspecified, African American or Afro-Caribbean	In Part Not Recorded
South Asian, Greater Middle Eastern (Middle Eastern, North African or Persian), Hispanic or Latin American	Other/Mixed
European, African American or Afro-Caribbean	In Part Not Recorded
European, African American or Afro-Caribbean, unspecified	In Part Not Recorded
European, African unspecified, Asian unspecified, Hispanic/Latin American, unspecified	In Part Not Recorded
European, African American or Afro-Caribbean, unspecified	In Part Not Recorded
European, African unspecified, Asian unspecified, Hispanic or Latin American, unspecified	In Part Not Recorded
European, African American or Afro-Caribbean, NR	In Part Not Recorded
European, African unspecified, Asian unspecified, Hispanic or Latin American, NR	In Part Not Recorded
Other, NR	In Part Not Recorded
Other, unspecified	In Part Not Recorded
Asian unspecified, Other	Asian
European, South Asian, East Asian, African American or Afro-Caribbean, Hispanic or Latin American	Other/Mixed
African unspecified, Asian unspecified, African American or Afro-Caribbean, Greater Middle Eastern (Middle Eastern, North African or Persian), NR	In Part Not Recorded
European, African unspecified, Asian unspecified	Other/Mixed
European, African American or Afro-Caribbean, Other	Other/Mixed
Asian unspecified, African American or Afro-Caribbean, Hispanic or Latin American	Other/Mixed
East Asian, European	Other/Mixed
Other admixed ancestry, NR	In Part Not Recorded
NR, Other admixed ancestry	In Part Not Recorded
European, African unspecified, South Asian, East Asian, Native American, Hispanic or Latin American	Other/Mixed
South Asian, East Asian, African American or Afro-Caribbean, Hispanic or Latin American	Other/Mixed
European, South Asian, Asian unspecified, African American or Afro-Caribbean, Hispanic or Latin American	Other/Mixed
South Asian, East Asian, Asian unspecified, African American or Afro-Caribbean, Hispanic or Latin American	Other/Mixed
European, South Asian	Other/Mixed
East Asian, NR	In Part Not Recorded
South Asian, South East Asian, East Asian, Asian unspecified	Asian
European, African American or Afro-Caribbean, Hispanic or Latin American, NR	Other/Mixed
East Asian, South Asian, African American or Afro-Caribbean, Hispanic or Latin American	Other/Mixed
European, East Asian, African American or Afro-Caribbean, Hispanic or Latin American, NR	In Part Not Recorded
African unspecified, South Asian, East Asian	Other/Mixed
Asian unspecified, East Asian	Asian
European, African American or Afro-Caribbean, Native American, NR	In Part Not Recorded
European, African unspecified, South Asian, South East Asian, Central Asian, East Asian, African American or Afro-Caribbean, Greater Middle Eastern (Middle Eastern, North African or Persian), Native American, Other admixed ancestry	Other/Mixed
South Asian, Central Asian	Asian
European, African unspecified, South Asian, South East Asian, Central Asian, East Asian, African American or Afro-Caribbean, Greater Middle Eastern (Middle Eastern, North African or Persian), Native American, Other admixed ancestry	Other/Mixed
European, South Asian, Asian unspecified, NR	Other/Mixed
Asian unspecified, African American or Afro-Caribbean, Oceanian, Native American, NR	Other/Mixed
European, African unspecified, Asian unspecified, NR	In Part Not Recorded
African American or Afro-Caribbean, NR	In Part Not Recorded
European, African unspecified, Hispanic or Latin American, NR	In Part Not Recorded
Asian unspecified, Oceanian	Other/Mixed
African American or Afro-Caribbean, African unspecified, Asian unspecified, European, Hispanic or Latin American, NR	Other/Mixed
Asian unspecified, European, Hispanic or Latin American, Native American, NR, Oceanian	Other/Mixed
African unspecified, European	Other/Mixed
Asian unspecified, European, Hispanic or Latin American, NR, South Asian	Other/Mixed
African unspecified, European, Hispanic or Latin American	Other/Mixed
East Asian, South Asian, South East Asian	Asian
African American or Afro-Caribbean, Asian unspecified, European	Other/Mixed
African unspecified, Asian unspecified, European, Other	Other/Mixed
African American or Afro-Caribbean, Asian unspecified, European, Hispanic or Latin American, Native American, NR, Other admixed ancestry	Other/Mixed
East Asian, South Asian	Asian
African American or Afro-Caribbean, African unspecified, European, East Asian, Hispanic or Latin American, South Asian	Other/Mixed
European, African American or Afro-Caribbean, East Asian, Hispanic or Latin American	Other/Mixed
African American or Afro-Caribbean, East Asian, European, Hispanic or Latin American	Other/Mixed
Asian unspecified, Greater Middle Eastern (Middle Eastern, North African or Persian), South Asian	Other/Mixed
African American or Afro-Caribbean, European, NR	In Part Not Recorded
European, Hispanic or Latin American, Native American	Other/Mixed
European, East Asian, South East Asian, South Asian, Asian unspecified	Other/Mixed
East Asian, South East Asian, South Asian, Asian unspecified	Asian
European, East Asian, South East Asian, South Asian, Asian unspecified	Other/Mixed
African American or Afro-Caribbean, Hispanic or Latin American	Other/Mixed
African American or Afro-Caribbean, Asian unspecified, Native American, NR, Oceanian	In Part Not Recorded
Asian unspecified, European	Other/Mixed
African unspecified, Asian unspecified, European, Native American, NR	Other/Mixed
Asian unspecified, Native American, NR, Oceanian	Other/Mixed
African American or Afro-Caribbean, European, Hispanic or Latin American, South Asian	Other/Mixed
African unspecified, Asian unspecified, European, NR	In Part Not Recorded
European, South Asian, Hispanic or Latin American	Other/Mixed
Hispanic or Latin American, European, South Asian	Other/Mixed
East Asian, European, Sub-Saharan African	Other/Mixed
European, Sub-Saharan African	Other/Mixed
Hispanic or Latin American, NR	In Part Not Recorded
African American or Afro-Caribbean, East Asian, South Asian	Other/Mixed
African American or Afro-Caribbean, East Asian, Hispanic or Latin American, South Asian	Other/Mixed
African American or Afro-Caribbean, East Asian, South Asian	Other/Mixed
African American or Afro-Caribbean, East Asian, Greater Middle Eastern (Middle Eastern, North African or Persian), Hispanic or Latin American, South Asian	Other/Mixed
African American or Afro-Caribbean, East Asian, Hispanic or Latin American, South Asian	Other/Mixed
African American or Afro-Caribbean, East Asian, South Asian	Other/Mixed
East Asian, South Asian, African American or Afro-Caribbean	Other/Mixed
African American or Afro-Caribbean, East Asian, Greater Middle Eastern (Middle Eastern, North African or Persian), Hispanic or Latin American, South Asian	Other/Mixed
African American or Afro-Caribbean, East Asian, Hispanic or Latin American, South Asian	Other/Mixed
African American or Afro-Caribbean, East Asian, Hispanic or Latin American, South East Asian	Other/Mixed
African American or Afro-Caribbean, East Asian, South Asian	Other/Mixed
African American or Afro-Caribbean, East Asian, Greater Middle Eastern (Middle Eastern, North African or Persian), Hispanic or Latin American, South Asian	Other/Mixed
East Asian, Hispanic or Latin American, South Asian, African American or Afro-Caribbean	Other/Mixed
African American or Afro-Caribbean, East Asian, Hispanic or Latin American, South Asian	Other/Mixed
Native American, NR, Oceanian	In Part Not Recorded
African American or Afro-Caribbean, East Asian, European, Hispanic or Latin American, South Asian, Sub-Saharan African	Other/Mixed
African American or Afro-Caribbean, East Asian, European, Hispanic or Latin American, South Asian	Other/Mixed
African unspecified, Sub-Saharan African	African
